,Bus,M1/16,M63,M5,M31,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/13,T403,T304,T310/1,T368,T324/2,T347,T364/2,T366,T375,T414,T415,C700,T385,T355/2,T560/3
0,MR7735-0,,,,,,,,,,,,,,,,,,,,,,,,,,,134142,134214
1,MW3387-0,,,,,,,,,,,,,,,,,,,,,,,,,134142,134222,134335,134802
2,MR7831-0,,,,,,,,,,,,,,,134142,134231,134408,134528,134633,134850,134957,135134,135311,135400,135617,135746,135925,140505
3,MP6381-0,,,,,,,,,,,,134142,134255,134810,134850,135021,135150,135303,135408,135642,135746,135901,140030,140119,140353,140530,140645,141137
4,MR7938-0,,,,,,134142,134231,134504,134705,134802,134931,135110,135521,140127,140248,140417,140530,140645,140750,141040,141145,141354,141517,141630,141944,142121,,
5,MP6041-0,134142,134311,134400,134625,134746,134907,134949,135142,135327,135432,135601,135746,140135,140653,140750,140912,141040,141137,141225,141501,141557,141710,141847,141927,,,,
6,MP6051-0,135037,135231,135335,135440,135609,135658,135820,135942,135958,140159,140328,140530,,141250,141354,141517,141646,141742,141831,142032,142137,,,,,,,
7,MR7663-0,140006,140111,140207,140425,140546,140645,140734,141032,141217,141314,141509,141807,142024,,,,,,,,,,,,,,,
8,MS5082-0,140952,141040,141145,141533,141734,141855,141936,,,,,,,,,,,,,,,,,,,,,
9,MS4791-0,141734,142056,142201,,,,,,,,,,,,,,,,,,,,,,,,,
